PC=0000000000000090, REG[ 0]=000000000000040d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3c8984c810a61b3c
PC=0000000000000064, REG[10]=3c8984c81bf66b39
PC=0000000000000068, REG[11]=97cf8c27d26f2755
PC=000000000000006c, REG[11]=97cf8c27ddbf7752
PC=0000000000000070, REG[12]=622d47140ea14c0a
PC=0000000000000074, REG[12]=622d471419f19c07
PC=0000000000000078, REG[ 1]=6255c060b4dc02eb
PC=000000000000007c, REG[ 1]=6255c060c02c52e8
PC=0000000000000080, REG[12]=00000000622d4714
PC=0000000000000084, REG[13]=000000006255c060
PC=0000000000000088, REG[ 0]=000000000000042d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000044d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=f10d4e5dbc4d6f48
PC=0000000000000064, REG[10]=f10d4e5dc79dbf45
PC=0000000000000068, REG[11]=9f4396399cd57731
PC=000000000000006c, REG[11]=9f439639a825c72e
PC=0000000000000070, REG[12]=e8b7d7eb57e57876
PC=0000000000000074, REG[12]=e8b7d7eb6335c873
PC=0000000000000078, REG[10]=00000000f10d4e5d
PC=000000000000007c, REG[11]=000000009f439639
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000046d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000048d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=f10d4e5dbc4d6f48
PC=0000000000000064, REG[10]=f10d4e5dc79dbf45
PC=0000000000000068, REG[11]=9f4396399cd57731
PC=000000000000006c, REG[11]=9f439639a825c72e
PC=0000000000000070, REG[12]=e8b7d7eb57e57876
PC=0000000000000074, REG[12]=e8b7d7eb6335c873
PC=0000000000000078, REG[ 1]=b29f8ad67a0629a7
PC=000000000000007c, REG[ 1]=b29f8ad6855679a4
PC=0000000000000080, REG[12]=00000000e8b7d7eb
PC=0000000000000084, REG[13]=00000000b29f8ad6
PC=0000000000000088, REG[ 0]=00000000000004ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000004cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=f744b89e56d6f714
PC=0000000000000064, REG[10]=f744b89e62274711
PC=0000000000000068, REG[11]=cef770c2d45cebcd
PC=000000000000006c, REG[11]=cef770c2dfad3bca
PC=0000000000000070, REG[12]=7aee8f7ac82ef6a2
PC=0000000000000074, REG[12]=7aee8f7ad37f469f
PC=0000000000000078, REG[10]=00000000f744b89e
PC=000000000000007c, REG[11]=00000000cef770c2
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000004ed
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000050d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=f744b89e56d6f714
PC=0000000000000064, REG[10]=f744b89e62274711
PC=0000000000000068, REG[11]=cef770c2d45cebcd
PC=000000000000006c, REG[11]=cef770c2dfad3bca
PC=0000000000000070, REG[12]=7aee8f7ac82ef6a2
PC=0000000000000074, REG[12]=7aee8f7ad37f469f
PC=0000000000000078, REG[ 1]=9c90c862eba61b23
